"Account","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024"
"John - Checking - Chase - Main Checking",2500.00,2650.00,2400.00,2800.00,2550.00,2700.00,2450.00,2900.00,2650.00,2800.00,2500.00,2950.00,2700.00,2850.00,2600.00,3000.00,2750.00,2900.00,2650.00,3100.00,2850.00,3000.00,2700.00,3200.00
"John - Savings - Ally - Emergency Fund",3000.00,3150.00,3300.00,3450.00,3600.00,3750.00,3900.00,4050.00,4200.00,4350.00,4500.00,4650.00,4800.00,4950.00,5100.00,5250.00,5400.00,5550.00,5700.00,5850.00,6000.00,6150.00,6300.00,6450.00
"John - Retirement - Vanguard - Roth IRA",8000.00,8200.00,8450.00,8700.00,8950.00,9200.00,9500.00,9800.00,10100.00,10450.00,10800.00,11150.00,11500.00,11900.00,12300.00,12700.00,13150.00,13600.00,14050.00,14550.00,15050.00,15600.00,16150.00,16700.00
"John - Investments - Fidelity - Brokerage Account",5000.00,5150.00,5300.00,5500.00,5700.00,5900.00,6100.00,6350.00,6600.00,6850.00,7100.00,7400.00,7700.00,8000.00,8350.00,8700.00,9050.00,9400.00,9800.00,10200.00,10600.00,11050.00,11500.00,12000.00
"Sarah - Checking - Bank of America - Personal Checking",1500.00,1600.00,1450.00,1700.00,1550.00,1650.00,1500.00,1750.00,1600.00,1700.00,1550.00,1800.00,1650.00,1750.00,1600.00,1850.00,1700.00,1800.00,1650.00,1900.00,1750.00,1850.00,1700.00,1950.00
"Sarah - Savings - Marcus - High Yield Savings",2500.00,2600.00,2700.00,2800.00,2900.00,3000.00,3100.00,3200.00,3300.00,3400.00,3500.00,3600.00,3700.00,3800.00,3900.00,4000.00,4100.00,4200.00,4300.00,4400.00,4500.00,4600.00,4700.00,4800.00
"Sarah - Retirement - Fidelity - 401k",7000.00,7300.00,7600.00,7900.00,8200.00,8500.00,8850.00,9200.00,9550.00,9900.00,10300.00,10700.00,11100.00,11550.00,12000.00,12450.00,12950.00,13450.00,13950.00,14500.00,15050.00,15650.00,16250.00,16850.00
"Joint - Checking - Wells Fargo - Joint Checking",3500.00,3700.00,3400.00,3900.00,3600.00,3800.00,3500.00,4000.00,3700.00,3900.00,3600.00,4100.00,3800.00,4000.00,3700.00,4200.00,3900.00,4100.00,3800.00,4300.00,4000.00,4200.00,3900.00,4400.00
"Joint - Savings - Capital One - Joint Savings",5000.00,5200.00,5400.00,5600.00,5800.00,6000.00,6200.00,6400.00,6600.00,6800.00,7000.00,7200.00,7400.00,7600.00,7800.00,8000.00,8200.00,8400.00,8600.00,8800.00,9000.00,9200.00,9400.00,9600.00
"John - Credit Card - Chase - Sapphire Preferred",-650.00,-720.00,-580.00,-890.00,-750.00,-680.00,-820.00,-690.00,-950.00,-780.00,-860.00,-920.00,-750.00,-830.00,-680.00,-1000.00,-850.00,-770.00,-920.00,-790.00,-1050.00,-880.00,-960.00,-1020.00
"Sarah - Credit Card - Amex - Blue Cash Preferred",-450.00,-520.00,-390.00,-610.00,-480.00,-550.00,-590.00,-460.00,-650.00,-510.00,-580.00,-620.00,-490.00,-570.00,-430.00,-680.00,-540.00,-600.00,-640.00,-500.00,-720.00,-570.00,-630.00,-690.00
"Joint - Auto Loan - Toyota Financial - 2021 RAV4",-18000.00,-17750.00,-17500.00,-17250.00,-17000.00,-16750.00,-16500.00,-16250.00,-16000.00,-15750.00,-15500.00,-15250.00,-15000.00,-14750.00,-14500.00,-14250.00,-14000.00,-13750.00,-13500.00,-13250.00,-13000.00,-12750.00,-12500.00,-12250.00
"John - Vehicles - KBB - 2021 RAV4 Private Party Value",24000.00,23800.00,23600.00,23400.00,23200.00,23000.00,22800.00,22600.00,22400.00,22200.00,22000.00,21800.00,21600.00,21400.00,21200.00,21000.00,20800.00,20600.00,20400.00,20200.00,20000.00,19800.00,19600.00,19400.00
"John - Specialized Savings - HSA Bank - Health Savings Account",1500.00,1600.00,1700.00,1800.00,1900.00,2000.00,2100.00,2200.00,2300.00,2400.00,2500.00,2600.00,2700.00,2800.00,2900.00,3000.00,3100.00,3200.00,3300.00,3400.00,3500.00,3600.00,3700.00,3800.00
"Sarah - Specialized Savings - Fidelity - 529 College Savings",3000.00,3200.00,3400.00,3600.00,3800.00,4000.00,4200.00,4400.00,4600.00,4800.00,5000.00,5200.00,5400.00,5600.00,5800.00,6000.00,6200.00,6400.00,6600.00,6800.00,7000.00,7200.00,7400.00,7600.00
"(Closed) John - Checking - Old Bank - Closed Account",500.00,500.00,500.00,500.00,500.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"(Closed) Sarah - Savings - Previous Savings",1200.00,1200.00,1200.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
